STATE	Tot_patterns	Patterns	T(X)
0	2190	2318	-32662.264	
1	2190	2385	-33135.740	
2	2190	2295	-32608.394	
3	2190	2331	-32694.349	
4	2190	2388	-33146.387	
5	2190	2381	-33157.962	
6	2190	2365	-32746.768	
7	2190	2290	-32246.848	
8	2190	2354	-32966.452	
9	2190	2276	-32488.481	
10	2190	2359	-32895.949	
11	2190	2358	-32812.896	
12	2190	2373	-32588.743	
13	2190	2341	-33074.597	
14	2190	2384	-33307.812	
15	2190	2360	-32502.640	
16	2190	2344	-32447.976	
17	2190	2397	-33287.296	
18	2190	2319	-32400.543	
19	2190	2310	-32720.088	
20	2190	2358	-32913.933	
21	2190	2340	-32853.722	
22	2190	2286	-32438.171	
23	2190	2308	-32398.390	
24	2190	2376	-32814.021	
25	2190	2300	-32227.656	
26	2190	2416	-33337.016	
27	2190	2291	-31894.240	
28	2190	2421	-33375.912	
29	2190	2404	-32883.153	
30	2190	2375	-32973.540	
31	2190	2278	-31993.023	
32	2190	2388	-33097.591	
33	2190	2364	-32728.583	
34	2190	2317	-32763.609	
35	2190	2363	-32880.721	
36	2190	2352	-32822.586	
37	2190	2307	-32457.449	
38	2190	2243	-32053.215	
39	2190	2315	-32927.178	
40	2190	2394	-33081.257	
41	2190	2299	-32456.311	
42	2190	2358	-32667.851	
43	2190	2405	-33401.163	
44	2190	2309	-32587.823	
45	2190	2373	-32890.290	
46	2190	2331	-32770.787	
47	2190	2339	-32732.758	
48	2190	2287	-32310.447	
49	2190	2377	-32846.289	
50	2190	2354	-32667.445	
